reference_answer,answer,score
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ",100.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Characters can be qualitative or quantitative.

They are qualitative when they have quality names. These fall into disconnected quality, i.e. without any natural order such as the sex or degree course character, and ordered quality, i.e. with a natural order, for example the performance or the title of study. 

The quantities have measurable numerical names and are divided into discrete and continuous quantities. Discreet numbers are whole numbers enclosed in a given whole, e.g. university FUs or the number of employees in a company; continuous numbers are real numbers forming part of an interval of which they can assume any kind of value, an example is the duration of a light bulb or the waiting time.",59.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","The characters in the statistical units may be of two types: qualitative and quantitative. The qualitative ones concern all the modes expressed verbally, such as gender and the title of study. The quantitative ones instead concern the modalities expressed by numbers, therefore these characters are measurable, for example the height, the weight and the income. 

The quality characters can be divided into orderable and disconnected. A sort of classification is made, for example the title of study. Unconnected quality characters cannot be ordered so they can be randomly placed, such as sex and birthplace. Quantitative characters are also divided into discrete and continuous characters. The discrete ones concern all the integers while the continuous ones are all those real numbers included in an interval.",70.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","The types of characters are distinguished in quality and quantity. The first are modes of verbal expressions (e.g. sex, degree, etc.). The second ones instead are those modalities that can be expressed in numbers, are measurable and it is possible to define a unit of measure (example: age, height, etc.). The qualitative characters can be connected or ordered, the first have in ways verbal names for which there is no exist and it is not possible to establish an order, the second have in ways verbal names for which there is a natural order. The quantitative characters, in turn, can be distinguished in discreet or continuous. The discrete quantitative characters have for modes integer numbers (0.12, etc.). Continuous quantitative characters shall have for real numbers modes within a given range.",70.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","the types of characters are. Qualitative and quantitative, the former are modes of verbal expressions e.g. sex, title of study etc., the latter are those modes that can be expressed by numbers, are measurable and it is possible to define a unit of measurement e.g. age, height, etc., the qualitative characters can be connected or ordered, the former have for modes verbal names for which no order exists and it is not possible to establish an order, the latter have for modes verbal names for which a natural order exists. The quantitative characters in turn can be distinguished in discrete or continuous. discrete are integers 1,2... continuous modes are all real numbers within a given range",59.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","It is called character (or variable) every elemental aspect object of survey on the statistical units of the collective (i.e. the characteristics that I go to study). Characters can be classified in qualitative and quantitative characters. Qualities when modes are verbal expressions or attributes, such as sex, degree or year of course. In turn, quality characters can be classified into:
- unconnected qualitative characteristics: they have verbal names for which there is no legal order (e.g. sex, religion, place of birth, type of degree);

- quality characteristics which can be ordered by means of verbal names for which there is a natural system (e.g. degree, year of enrolment at university).

Quantities when modes can be expressed by numbers, are measurable and a unit of measurement can be defined. For example height, age, income. A further classification is:

- discrete quantitative characters in which the modes are whole numbers (e.g. the number of members of a family, the number of seeds supported);

- continuous quantitative characters which can take for mode all real numbers within a given range (e.g. height, waiting time, weight).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Characters categorize themselves in:
- qualitative characteristics, i.e. modes are verbal expressions such as sex, degree, year of course;

- quantitative characters, i.e. the modalities may be expressed by numbers. These characters can be numbered and you can define a unit of measurement such as age, height, income.

The quality characteristics can be:

- disconnected, i.e. they have verbal names for which there is no such thing as sex, religion or place of birth, and cannot be established;

- can be ordered, i.e. they have verbal names for which there is a natural system such as the title of study, the degree of satisfaction

The quantitative characters may be:

- discrete, i.e. modes are whole numbers (0,12...) such as the number of examinations carried out, the number of members of a family;

- continuous, the modes are all the real numbers included in a given range such as height, weight, age. ",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","Essential terminology: statistical collective statistical unit, character and mode. It is called character every elemental aspect object of revelation on the statistical units of the collective. Each statistical unit carries multiple characters. EXAMPLE: statistical unit= offender of sexual violence in Italy. FEATURES=age,sex,title of study,residence,type of crime committed,length of conviction,recurring. The characters present in a statistical unit are generally of a different nature:
- QUALITATIVE FEATURES: the modalities are verbal expressions(age,sex,title of study,year of course)

ACTIVE FEATURES: the modes can be expressed by numbers. The quantitative characters are measurable and it is possible to define a unit of measurement (age, income, height).

Qualitative characters can be distinguished in disconnected or orderable depending on whether it is possible or not to look at their diversity.

-SCHOOL STATEMENTS: they have verbal names which do not exist or cannot be established in order (sex, religion, region of residence, place of birth or type of work).

- ORDERABLE QUALITY CARATTERS: they have verbal names for which there is a natural system (title of study, year of enrolment at the university, degree of satisfaction, level of risk associated with a share)-

Quantitative characters can be distinguished in discrete or continuous.

-DESCRIBED QUANTITATIVE CARATTERS: the modes are the entire numbers 0.1,2,... (The numbers of employees of a company, the number of members of a family, the number of incoming calls in a call center).

ACTIVE CHARACTERS CONTINUOUS: the modes are all real numbers included in a given range (height, weight, waiting time, duration of a telephone conversation, income).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","The characters are the individual characteristics observed on the collective, the ways in which they present themselves, instead, are the modes. They stand out in qualitative and quantitative terms. The qualitative characters are expressed by verbal expressions or attributes and are divided into disconnected, characters whose modalities do not possess a natural order (e.g. sex, religion, region of belonging), and ordered characters, for whose modalities there is a natural order (e.g. degree of satisfaction, degree of study, level of risk).

The quantitative characters can be expressed by numbers, are measurable and it is possible to establish a unit of measurement, are distinguished in discrete and continuous. Discreet characters have whole numbers (e.g. number of crimes committed, number of members of a family). The continuous ones have as mode all the real numbers included in a range (e.g. height, weight).",80.0
"When we talk about characters we refer to all the elementary aspects that are the subject of survey on the statistical units of the collective. each statistical unit carries multiple characters. Characters can be distinguished in qualitative (expressed by verbal names such as sex, religion, level of satisfaction or degree of study) and quantitative (expressed by numerical values for which it is possible to establish a unit of measurement and which are measurable such as the number of employees in a holding, age, weight or height). qualitative characters are also distinguished in unconnected qualitative characters (which are represented by verbal names for which there is no natural order such as sex or religion) and orderable (which are represented by verbal names for which there is a natural order such as the title of study and the level of satisfaction); while quantitative characters are distinguished in discrete (they are represented by whole numerical values such as the number of employees in a company) or continuous (which are represented by real numbers such as height, weight and age. It is also possible for any type of character to carry out different operations. For quantitative characters it is possible to carry out all operations (equality, inequality, ordering and algebraic operations) while for unconnected qualitative characters it is possible to carry out only operations of equality and inequality and for quality characters it is possible to carry out operations of equality, inequality and ordering. ","The characteristics of a distribution may be qualitative or quantitative.
Quality characters express themselves verbally and distinguish themselves in unconnected quality characters and quality characters that can be ordered. The former cannot be ordered (e.g. province of residence) while the latter can be ordered in ascending or descending order (e.g. level of satisfaction).
The quantitative characters take numerical values and distinguish themselves in discrete quantitative characters and continuous quantitative characters. The first ones can take only whole values (e.g. age) the second ones, instead, can take all the values belonging to the scale of the real ones (e.g. weight of an individual).",70.0
