config_id,model_name,batch_size,epochs,learning_rate,warm_up,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
0,indobenchmark/indobert-lite-base-p2,4,5,1e-05,0.0,581.9032027721405,1352.48486328125,0.011835372525577743,0.083310775,0.109053046,0.9064820697491238,False
1,indobenchmark/indobert-lite-base-p2,4,5,2e-05,0.0,583.4630494117737,1354.08642578125,0.01146976837189868,0.083257265,0.10751551,0.9094244447857022,False
2,indobenchmark/indobert-lite-base-p2,4,5,5e-05,0.0,582.8104131221771,1354.08642578125,0.01147481811058242,0.08001818,0.107496426,0.9100572836656746,False
3,indobenchmark/indobert-lite-base-p2,4,5,0.0001,0.0,585.2840251922607,1354.08642578125,0.010559595063872015,0.07829063,0.10315744,0.9169644142339437,False
4,indobenchmark/indobert-lite-base-p2,4,10,1e-05,0.0,1164.5178320407867,1354.08642578125,0.011325166523602093,0.07994883,0.106716186,0.9107585015348063,False
5,indobenchmark/indobert-lite-base-p2,4,10,2e-05,0.0,1161.543966293335,1355.53955078125,0.010388875315402401,0.07677854,0.102348275,0.9183617424572641,False
6,indobenchmark/indobert-lite-base-p2,4,10,5e-05,0.0,1165.85245013237,1355.53955078125,0.058705749973887576,0.19346792,0.24328038,0.3698591229954809,False
7,indobenchmark/indobert-lite-base-p2,4,10,0.0001,0.0,1163.54394865036,1355.53955078125,0.013083824078785255,0.08346803,0.114690736,0.8977350254113351,False
8,indobenchmark/indobert-lite-base-p2,4,20,1e-05,0.0,2323.624627351761,1355.53955078125,0.010933244716822325,0.07800984,0.10498895,0.9141153345959915,False
9,indobenchmark/indobert-lite-base-p2,4,20,2e-05,0.0,2323.4577593803406,1355.53955078125,0.010890695148555096,0.07862353,0.10475298,0.9145330471817847,False
10,indobenchmark/indobert-lite-base-p2,4,20,5e-05,0.0,2317.4799773693085,1355.53955078125,0.014966442766793382,0.08727676,0.122826666,0.8823621824085585,False
11,indobenchmark/indobert-lite-base-p2,4,20,0.0001,0.0,2317.779061794281,1355.53955078125,0.0682226090459153,0.21810812,0.26221913,-0.028788797733767937,False
12,indobenchmark/indobert-lite-base-p2,8,5,1e-05,0.0,538.4408316612244,2545.75830078125,0.012938771699555218,0.08788535,0.11381181,0.8988807440693465,False
13,indobenchmark/indobert-lite-base-p2,8,5,2e-05,0.0,534.1672837734222,2546.78173828125,0.012918618670664728,0.08507858,0.11391583,0.8987003650923509,False
14,indobenchmark/indobert-lite-base-p2,8,5,5e-05,0.0,543.3260014057159,2548.55517578125,0.010776648301786432,0.07725378,0.10393218,0.915258881574082,False
15,indobenchmark/indobert-lite-base-p2,8,5,0.0001,0.0,547.0591850280762,2548.55517578125,0.011496260622516274,0.07945434,0.1074113,0.9106414198079227,False
16,indobenchmark/indobert-lite-base-p2,8,10,1e-05,0.0,1081.6175842285156,2548.55517578125,0.013655706134159118,0.08519731,0.11722315,0.8936568612673803,False
17,indobenchmark/indobert-lite-base-p2,8,10,2e-05,0.0,1078.1179876327515,2548.55517578125,0.011277360220750174,0.08197441,0.106407255,0.9116184957209135,False
18,indobenchmark/indobert-lite-base-p2,8,10,5e-05,0.0,1070.5057117938995,2550.23486328125,0.01196111465493838,0.0811105,0.1096933,0.9070809846862239,False
19,indobenchmark/indobert-lite-base-p2,8,10,0.0001,0.0,1127.9226286411285,2550.23486328125,0.011107698210980742,0.07707447,0.1055828,0.9128017934700455,False
20,indobenchmark/indobert-lite-base-p2,8,20,1e-05,0.0,2258.781243085861,2550.23486328125,0.012962984836970766,0.08626553,0.11409692,0.8985160132750629,False
21,indobenchmark/indobert-lite-base-p2,8,20,2e-05,0.0,2202.9570767879486,2550.23486328125,0.011525124326969187,0.08004932,0.10762802,0.9093377368543318,False
22,indobenchmark/indobert-lite-base-p2,8,20,5e-05,0.0,2294.7534499168396,2550.23486328125,0.01101085866879051,0.07668857,0.10524364,0.914266997484484,False
23,indobenchmark/indobert-lite-base-p2,8,20,0.0001,0.0,2124.9951872825623,2550.23486328125,0.013729023320289949,0.084865615,0.117555015,0.8937415609082923,False
24,indobenchmark/indobert-lite-base-p2,16,5,1e-05,0.0,498.3249773979187,4914.00048828125,0.01457954461996754,0.08969518,0.12095718,0.8856010205951482,False
25,indobenchmark/indobert-lite-base-p2,16,5,2e-05,0.0,496.84423327445984,4914.00048828125,0.01224914959942301,0.085431494,0.110922836,0.9030476529240754,False
26,indobenchmark/indobert-lite-base-p2,16,5,5e-05,0.0,498.1904366016388,4914.00048828125,0.011266236131389936,0.08200807,0.106490426,0.9110628826669045,False
27,indobenchmark/indobert-lite-base-p2,16,5,0.0001,0.0,497.152902841568,4914.00048828125,0.013123886628697316,0.08269462,0.11474823,0.8986787577685573,False
28,indobenchmark/indobert-lite-base-p2,16,10,1e-05,0.0,989.3857369422913,4914.00048828125,0.011770458860943715,0.08199171,0.10881123,0.9072488010955068,False
29,indobenchmark/indobert-lite-base-p2,16,10,2e-05,0.0,990.1602258682251,4914.00048828125,0.010954028833657503,0.0777584,0.104959086,0.9138797854688788,False
30,indobenchmark/indobert-lite-base-p2,16,10,5e-05,0.0,1020.6523883342743,4914.00048828125,0.011339977492267887,0.07871689,0.10682818,0.9107151892352199,False
31,indobenchmark/indobert-lite-base-p2,16,10,0.0001,0.0,1003.1633780002594,4914.00048828125,0.010404751356691121,0.07496938,0.10220455,0.919496879943858,False
32,indobenchmark/indobert-lite-base-p2,16,20,1e-05,0.0,1982.5780742168427,4914.00048828125,0.016027090977877377,0.09257021,0.12697755,0.8735729666579635,False
33,indobenchmark/indobert-lite-base-p2,16,20,2e-05,0.0,1988.8444440364838,4914.00048828125,0.012641375636061032,0.08624561,0.11275611,0.9003520935806181,False
34,indobenchmark/indobert-lite-base-p2,16,20,5e-05,0.0,1975.040818452835,4914.00048828125,0.010683313695092995,0.0754081,0.1036493,0.9159647323545298,False
35,indobenchmark/indobert-lite-base-p2,16,20,0.0001,0.0,2014.510464668274,4914.00048828125,0.010734795965254307,0.07374022,0.10389572,0.9165509258644089,False
36,indobenchmark/indobert-lite-base-p2,4,5,1e-05,0.0,592.8392586708069,1352.48486328125,0.006822155158927975,0.062246483,0.082924284,0.9467522756006743,False
37,indobenchmark/indobert-lite-base-p2,4,5,2e-05,0.0,591.7213168144226,1354.08642578125,0.006221671415793632,0.060526885,0.079200715,0.9514329095331036,False
38,indobenchmark/indobert-lite-base-p2,4,5,5e-05,0.0,591.4213273525238,1354.08642578125,0.006834990063604589,0.0633335,0.08296362,0.9466521837273768,False
39,indobenchmark/indobert-lite-base-p2,4,5,0.0001,0.0,590.3885536193848,1354.08642578125,0.02856793090662298,0.13132371,0.16877449,0.7687961541724061,False
40,indobenchmark/indobert-lite-base-p2,4,10,1e-05,0.0,1177.2899632453918,1354.08642578125,0.007289631711319089,0.06371025,0.08566066,0.9434727665568757,False
41,indobenchmark/indobert-lite-base-p2,4,10,2e-05,0.0,1179.2396495342255,1355.53955078125,0.00695117801175608,0.060995825,0.083714955,0.9456832835440534,False
42,indobenchmark/indobert-lite-base-p2,4,10,5e-05,0.0,1178.2004055976868,1355.53955078125,0.006642933412149432,0.059646502,0.08181974,0.9483645536334633,False
43,indobenchmark/indobert-lite-base-p2,4,10,0.0001,0.0,1176.0047891139984,1355.53955078125,0.06793123895768076,0.21740618,0.26165253,0.38813755502916275,False
44,indobenchmark/indobert-lite-base-p2,4,20,1e-05,0.0,2357.666216135025,1355.53955078125,0.006487442902046799,0.05881465,0.08076033,0.9495021453486323,False
45,indobenchmark/indobert-lite-base-p2,4,20,2e-05,0.0,2350.8069133758545,1355.53955078125,0.006656875426900418,0.060544007,0.08187999,0.9482657029376735,False
46,indobenchmark/indobert-lite-base-p2,4,20,5e-05,0.0,2351.7899010181427,1355.53955078125,0.007626898718073486,0.063320786,0.08769803,0.9407779129482245,False
47,indobenchmark/indobert-lite-base-p2,4,20,0.0001,0.0,2346.8551590442657,1355.53955078125,0.06822766459081323,0.2181215,0.26222894,0.0816521453596663,False
48,indobenchmark/indobert-lite-base-p2,8,5,1e-05,0.0,543.6430203914642,2545.75830078125,0.006897645971427361,0.06298464,0.08314286,0.9469961206804944,False
49,indobenchmark/indobert-lite-base-p2,8,5,2e-05,0.0,543.8251276016235,2546.78173828125,0.006878151923107604,0.062938884,0.08317065,0.9469824722971757,False
50,indobenchmark/indobert-lite-base-p2,8,5,5e-05,0.0,544.0377032756805,2548.55517578125,0.006956009322311729,0.062357485,0.083693005,0.94585248698428,False
51,indobenchmark/indobert-lite-base-p2,8,5,0.0001,0.0,543.8939774036407,2548.55517578125,0.007611055478143195,0.06367536,0.08744045,0.9412402214484799,False
52,indobenchmark/indobert-lite-base-p2,8,10,1e-05,0.0,1082.5201227664948,2548.55517578125,0.00649695279619967,0.060164884,0.08080062,0.9494385281401293,False
53,indobenchmark/indobert-lite-base-p2,8,10,2e-05,0.0,1081.6597700119019,2548.55517578125,0.0068212617964794236,0.06046461,0.082759075,0.9473516337924274,False
54,indobenchmark/indobert-lite-base-p2,8,10,5e-05,0.0,1081.8959596157074,2550.23486328125,0.006542095557476083,0.059035655,0.0810314,0.9492378915298376,False
55,indobenchmark/indobert-lite-base-p2,8,10,0.0001,0.0,1080.9252076148987,2550.23486328125,0.06804318707436323,0.21748593,0.26171854,-0.13951732341656972,False
56,indobenchmark/indobert-lite-base-p2,8,20,1e-05,0.0,2160.5380091667175,2550.23486328125,0.0077586619959523285,0.0647702,0.08833114,0.9395481742041786,False
57,indobenchmark/indobert-lite-base-p2,8,20,2e-05,0.0,2157.512187719345,2550.23486328125,0.006368055734007309,0.058631353,0.07998343,0.9505311675912221,False
58,indobenchmark/indobert-lite-base-p2,8,20,5e-05,0.0,2157.6968836784363,2550.23486328125,0.006555450319622954,0.058825716,0.08115646,0.9491246383149017,False
59,indobenchmark/indobert-lite-base-p2,8,20,0.0001,0.0,2143.5966336727142,2550.23486328125,0.018067420964750152,0.0971236,0.13479128,0.8573394257106773,False
60,indobenchmark/indobert-lite-base-p2,16,5,1e-05,0.0,503.02119755744934,4914.00048828125,0.008107579623659452,0.0667095,0.090186216,0.9376601470667353,False
61,indobenchmark/indobert-lite-base-p2,16,5,2e-05,0.0,503.1005427837372,4914.00048828125,0.006435613210002581,0.060988616,0.080386765,0.9501922362972643,False
62,indobenchmark/indobert-lite-base-p2,16,5,5e-05,0.0,502.7987365722656,4914.00048828125,0.006220409755284587,0.060397126,0.07900142,0.9520211437442825,False
63,indobenchmark/indobert-lite-base-p2,16,5,0.0001,0.0,510.21997237205505,4914.00048828125,0.01879111068944136,0.1029376,0.13738906,0.849691821558879,False
64,indobenchmark/indobert-lite-base-p2,16,10,1e-05,0.0,1030.5548062324524,4914.00048828125,0.007063053905343016,0.063173756,0.08415146,0.9451867878775807,False
65,indobenchmark/indobert-lite-base-p2,16,10,2e-05,0.0,1012.4904496669769,4914.00048828125,0.007008091981212298,0.0620634,0.08386962,0.9458330807037976,False
66,indobenchmark/indobert-lite-base-p2,16,10,5e-05,0.0,1011.7658710479736,4914.00048828125,0.006171728220457832,0.058353648,0.078667894,0.9522576174256024,False
67,indobenchmark/indobert-lite-base-p2,16,10,0.0001,0.0,1011.2191772460938,4914.00048828125,0.006822879922886689,0.06133418,0.082787216,0.9473713600329411,False
68,indobenchmark/indobert-lite-base-p2,16,20,1e-05,0.0,2017.0981242656708,4914.00048828125,0.007890550248945753,0.06592325,0.08901077,0.9384897199467256,False
69,indobenchmark/indobert-lite-base-p2,16,20,2e-05,0.0,2017.1058983802795,4914.00048828125,0.00688130126024286,0.061327912,0.08310888,0.9464759440321592,False
70,indobenchmark/indobert-lite-base-p2,16,20,5e-05,0.0,2018.7324838638306,4914.00048828125,0.006648360580826799,0.059591092,0.08173705,0.9484050458334122,False
