config_id,model_name,batch_size,epochs,learning_rate_backbone,learning_rate_head,warm_up,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
0,indobenchmark/indobert-lite-base-p2,4,12,1e-05,0.001,0.0,1477.17591547966,1335.88134765625,0.007221055303913696,0.06598914,0.08528906,0.9440719268961743,True
1,indobenchmark/indobert-lite-base-p2,4,12,1e-05,0.002,0.0,1460.5635704994202,1335.98291015625,0.007127004433520294,0.06675107,0.084728174,0.9450176682907852,True
2,indobenchmark/indobert-lite-base-p2,4,28,2e-05,0.001,0.0,3387.3992347717285,1337.08447265625,0.006834303292271216,0.061712775,0.08281535,0.946693492435064,True
3,indobenchmark/indobert-lite-base-p2,4,18,2e-05,0.002,0.0,2135.1463208198547,1337.83447265625,0.007171839968456576,0.06422072,0.08495785,0.9442060966679426,True
4,indobenchmark/indobert-lite-base-p2,8,12,1e-05,0.001,0.0,1296.7335669994354,2532.50634765625,0.007872349458436172,0.067972876,0.08885814,0.9396164029875459,True
5,indobenchmark/indobert-lite-base-p2,8,37,1e-05,0.002,0.0,4106.997234106064,2533.63134765625,0.0071901711790512005,0.061506465,0.08497803,0.9453063048651262,True
6,indobenchmark/indobert-lite-base-p2,8,24,2e-05,0.001,0.0,2598.0073244571686,2533.63134765625,0.0064034030307084325,0.060000274,0.08021799,0.9500794059777771,True
7,indobenchmark/indobert-lite-base-p2,8,12,2e-05,0.002,0.0,1287.4031100273132,2533.63134765625,0.007394768375282486,0.06627303,0.08612664,0.9425740576090601,True
8,indobenchmark/indobert-lite-base-p2,16,16,1e-05,0.001,0.0,1626.5601489543915,4896.27197265625,0.0069180880673229694,0.06136402,0.08327637,0.9473495855694697,True
9,indobenchmark/indobert-lite-base-p2,16,27,1e-05,0.002,0.0,2764.535499572754,4897.62353515625,0.007497681972260277,0.063333295,0.08679106,0.9417302911652128,True
10,indobenchmark/indobert-lite-base-p2,16,15,2e-05,0.001,0.0,1544.8410682678223,4897.99853515625,0.007810614102830489,0.065358244,0.08862724,0.9414310520136554,True
