config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson,learning_rate
0,1,0.11417101,0.2624515,0.33793527,0.474056615,0.021084273,0.11096231,0.14542846,0.847918753,2.00E-05
0,2,0.060808695,0.19796963,0.24656413,0.66890505,0.030098431,0.15060964,0.17446893,0.894434506,2.00E-05
0,3,0.047739713,0.17650881,0.21848372,0.735934385,0.013620291,0.0924712,0.11762677,0.915427914,2.00E-05
0,4,0.040473615,0.16458416,0.20117915,0.764586852,0.013326416,0.092862755,0.116498165,0.922141304,2.00E-05
0,5,0.032429646,0.14506963,0.18009947,0.806397111,0.013086433,0.08930819,0.113788396,0.928012703,2.00E-05
0,6,0.026731434,0.13202201,0.1635043,0.836224902,0.008590358,0.07226559,0.093175925,0.932452213,2.00E-05
0,7,0.023367301,0.12487153,0.15286706,0.853869982,0.008216191,0.06924288,0.09111725,0.934570025,2.00E-05
0,8,0.020912406,0.11652858,0.14460564,0.866803208,0.010771564,0.080527455,0.10462688,0.935983736,2.00E-05
0,9,0.016343722,0.103711784,0.12784615,0.892456359,0.008369382,0.070149526,0.09202818,0.937152912,2.00E-05
0,10,0.014643036,0.09651595,0.12099226,0.903615276,0.009361205,0.07451314,0.09673603,0.93817343,2.00E-05
0,11,0.012506722,0.09045567,0.11182675,0.916927372,0.007699736,0.06602365,0.088153765,0.939912892,2.00E-05
0,12,0.011674811,0.08712263,0.10805973,0.922278202,0.008112931,0.07050664,0.09050808,0.941899292,2.00E-05
0,13,0.009673755,0.078222476,0.09835615,0.935408818,0.008026428,0.06935143,0.08990093,0.938192077,2.00E-05
0,14,0.007697766,0.07000663,0.08774105,0.947813574,0.007483355,0.06692915,0.08643918,0.944474835,2.00E-05
0,15,0.007313942,0.06840428,0.085517034,0.950398556,0.008827528,0.07357173,0.09394651,0.938008912,2.00E-05
0,16,0.006408341,0.06328213,0.08005614,0.956578929,0.007962373,0.06668331,0.088184774,0.938919317,2.00E-05
0,17,0.005572855,0.059404828,0.07464822,0.962176213,0.008110331,0.06847778,0.088907294,0.938917377,2.00E-05
0,18,0.005297847,0.05741481,0.07274877,0.964234225,0.008170677,0.06899657,0.0903825,0.94171714,2.00E-05
0,19,0.005537951,0.058860686,0.07440893,0.962386049,0.010095446,0.080116645,0.10047458,0.93889316,2.00E-05
0,20,0.004176239,0.050864946,0.06462165,0.971562578,0.007431734,0.06709147,0.08604958,0.945442611,2.00E-05
0,21,0.004200606,0.051760748,0.06481713,0.971517798,0.007431203,0.0660081,0.085708,0.942816908,2.00E-05
0,22,0.003897524,0.049038887,0.06242858,0.973535653,0.007740542,0.06679414,0.087343305,0.94175854,2.00E-05
0,23,0.003216159,0.04496126,0.056712255,0.978165908,0.00743964,0.06416576,0.085110836,0.943281351,2.00E-05
0,24,0.003015226,0.043699726,0.05491217,0.979554386,0.007371479,0.06460056,0.08486082,0.945243836,2.00E-05
0,25,0.002983093,0.043027207,0.05462062,0.979748882,0.007853621,0.06915364,0.088392116,0.941363714,2.00E-05
0,26,0.002742696,0.04149168,0.052372884,0.98136642,0.007427595,0.06545176,0.085126124,0.94457669,2.00E-05
0,27,0.002576518,0.039886516,0.050759945,0.982503831,0.006879856,0.06341922,0.08227597,0.947111516,2.00E-05
0,28,0.002618187,0.040032223,0.051171385,0.982223393,0.007088926,0.06263834,0.08371589,0.944808514,2.00E-05
0,29,0.002485562,0.03907019,0.049857285,0.983185204,0.00705753,0.06365579,0.083625115,0.945414664,2.00E-05
0,30,0.002326467,0.03752222,0.048233427,0.984180176,0.007880376,0.067875125,0.088307224,0.944644004,2.00E-05
0,31,0.002311068,0.037876118,0.048079494,0.984322841,0.007369337,0.066104725,0.08517821,0.946858642,2.00E-05
0,32,0.001975885,0.03505982,0.04444413,0.986588487,0.007059785,0.062251132,0.08282574,0.946010665,2.00E-05
0,33,0.002128023,0.03667583,0.04613366,0.98556054,0.007620035,0.064871274,0.08613452,0.945503721,2.00E-05
0,34,0.002034877,0.035560813,0.04511381,0.986193265,0.007324243,0.06454493,0.08504723,0.945312578,2.00E-05
0,35,0.002436263,0.038365602,0.049352076,0.9835214,0.008315322,0.07169605,0.091018766,0.945441148,2.00E-05
0,36,0.001982892,0.034793936,0.04452287,0.986528822,0.007196931,0.06354788,0.084319465,0.944038315,2.00E-05
1,1,0.10496955,0.25877008,0.32401586,0.518131925,0.016643879,0.09952134,0.12957163,0.872788221,2.00E-05
1,2,0.060771962,0.20186025,0.24651855,0.679830856,0.011363023,0.08150097,0.106140964,0.910179907,2.00E-05
1,3,0.038569713,0.15696448,0.19643155,0.773145399,0.016505168,0.10491171,0.12828395,0.931165023,2.00E-05
1,4,0.024988612,0.12498278,0.15798402,0.840658145,0.009866574,0.077726714,0.099908695,0.93084642,2.00E-05
1,5,0.01704376,0.10492857,0.13058533,0.887503077,0.007737097,0.067576036,0.08816596,0.941632198,2.00E-05
1,6,0.012277188,0.087997794,0.11082465,0.916754065,0.008217929,0.0690201,0.0912505,0.937186123,2.00E-05
1,7,0.009087123,0.07525499,0.09533744,0.938002856,0.007837913,0.067354634,0.08914944,0.937599512,2.00E-05
1,8,0.008256398,0.07168442,0.090873405,0.94349365,0.008537483,0.06921635,0.09304292,0.936012034,2.00E-05
1,9,0.006925909,0.065794304,0.08322416,0.95269259,0.008980585,0.07137129,0.09543079,0.9279653,2.00E-05
1,10,0.005795475,0.05981739,0.07614559,0.960517802,0.008036845,0.070563264,0.09007041,0.937984519,2.00E-05
1,11,0.004759266,0.054244336,0.069004446,0.967530486,0.007619838,0.06800394,0.08744175,0.944185427,2.00E-05
1,12,0.004598925,0.053310707,0.0677243,0.968750751,0.008520377,0.07293168,0.09272075,0.941522138,2.00E-05
1,13,0.004500544,0.053178787,0.06709032,0.96929938,0.007559057,0.06737021,0.08745165,0.940586177,2.00E-05
1,14,0.004381567,0.05278866,0.06616109,0.970189193,0.008060738,0.06806378,0.09039684,0.939247141,2.00E-05
1,15,0.004005802,0.049061142,0.06329669,0.972690868,0.007033134,0.06362185,0.08420997,0.944262741,2.00E-05
1,16,0.003848669,0.04924499,0.06201865,0.973854218,0.007630075,0.067244716,0.08796283,0.940688194,2.00E-05
1,17,0.003748769,0.047963645,0.061239228,0.974454847,0.007317277,0.06767422,0.08604161,0.945801587,2.00E-05
1,18,0.00329032,0.044773925,0.057375137,0.977600282,0.007901382,0.06784314,0.08946638,0.939789079,2.00E-05
1,19,0.003129792,0.043716207,0.055956785,0.978706695,0.007178673,0.06617958,0.08522356,0.94411816,2.00E-05
