config_id,model_name,batch_size,epochs,learning_rate,warm_up,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
0,indobenchmark/indobert-lite-base-p2,4,26,1e-05,0.0,3100.5407671928406,1352.48486328125,0.010425767379395741,0.077447586,0.10227876,0.9190258609810817,False
1,indobenchmark/indobert-lite-base-p2,4,23,2e-05,0.0,2650.1520981788635,1354.08642578125,0.01128217084675877,0.081722446,0.106662035,0.9159746897746137,False
2,indobenchmark/indobert-lite-base-p2,4,16,5e-05,0.0,1807.2137048244476,1354.08642578125,0.012347472487211538,0.08533279,0.111535825,0.9036577767644164,False
3,indobenchmark/indobert-lite-base-p2,4,19,0.0001,0.0,2137.9082295894623,1354.08642578125,0.06502723733428865,0.20943812,0.255902,0.25681586695511277,False
4,indobenchmark/indobert-lite-base-p2,8,16,1e-05,0.0,1666.8425166606903,2545.28173828125,0.011704514268785715,0.08200485,0.1082248,0.9076123623940856,False
5,indobenchmark/indobert-lite-base-p2,8,22,2e-05,0.0,2288.950213909149,2546.78173828125,0.010340328999639799,0.07565697,0.10191882,0.9180992549896078,False
6,indobenchmark/indobert-lite-base-p2,8,27,5e-05,0.0,2808.0632197856903,2548.00830078125,0.010002326259079078,0.07442037,0.10022646,0.9208847571358514,False
7,indobenchmark/indobert-lite-base-p2,8,22,0.0001,0.0,2290.411824941635,2548.00830078125,0.013996149564627558,0.08547289,0.11864512,0.8933076820628391,False
8,indobenchmark/indobert-lite-base-p2,16,14,1e-05,0.0,1361.5965881347656,4914.35205078125,0.013289714511483908,0.08929251,0.11543617,0.8963154013536615,False
9,indobenchmark/indobert-lite-base-p2,16,15,2e-05,0.0,1456.557600736618,4914.35205078125,0.0117105050633351,0.081316836,0.10851458,0.9073829161504565,False
10,indobenchmark/indobert-lite-base-p2,16,20,5e-05,0.0,1941.8763511180878,4914.70361328125,0.011452587693929673,0.081673376,0.10727059,0.9091562274330839,False
11,indobenchmark/indobert-lite-base-p2,16,14,0.0001,0.0,1361.5725424289703,4914.70361328125,0.011142086051404477,0.081467666,0.105733514,0.9146889823294888,False
12,indobenchmark/indobert-lite-base-p2,4,48,1e-05,0.3,5418.5669186115265,4914.70361328125,0.013332359230844304,0.085773446,0.115934305,0.8952106461672631,False
13,indobenchmark/indobert-lite-base-p2,4,32,2e-05,0.3,3620.401036977768,4914.70361328125,0.011835431814445959,0.081320465,0.10919095,0.9116299782658365,False
14,indobenchmark/indobert-lite-base-p2,4,24,5e-05,0.3,2714.345163822174,4914.70361328125,0.011352585145505144,0.079009615,0.106874794,0.9102499713527116,False
15,indobenchmark/indobert-lite-base-p2,4,23,0.0001,0.3,2602.3404705524445,4914.70361328125,0.013234495445309828,0.0862665,0.11548398,0.8998716307872077,False
