config_id,model_name,batch_size,epochs,learning_rate,warm_up,dropout,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
0,indobenchmark/indobert-lite-base-p2,16,156,2e-05,0.0,0.3,5764.752388477325,411.5791015625,0.01425689725826184,0.09527953,0.119660676,0.8873774215058037,True
1,indobenchmark/indobert-lite-base-p2,4,91,2e-05,0.0,0.3,3838.210329055786,411.5791015625,0.013836532314599026,0.09428332,0.11812106,0.8889343839551338,True
2,indobenchmark/indobert-lite-base-p2,16,123,2e-05,0.0,0.5,5160.705721378326,411.5791015625,0.01698729128887256,0.10623631,0.13047823,0.8656103507890429,True
3,indobenchmark/indobert-lite-base-p2,4,72,2e-05,0.0,0.5,3030.6508650779724,411.5791015625,0.015510863024246646,0.10033256,0.1250586,0.8772177720652854,True
4,indobenchmark/indobert-lite-base-p2,16,17,0.001,0.0,0.3,631.965166091919,411.5791015625,0.014371175132691861,0.09433219,0.12011348,0.8879192290530792,True
5,indobenchmark/indobert-lite-base-p2,16,29,0.002,0.0,0.3,1077.4916908740997,411.8291015625,0.019280426669865847,0.11108762,0.13903265,0.8507287254304113,True
6,indobenchmark/indobert-lite-base-p2,4,23,0.001,0.0,0.3,953.097757101059,411.8291015625,0.02009612266701879,0.10668803,0.14234856,0.8388883555740302,True
7,indobenchmark/indobert-lite-base-p2,4,26,0.002,0.0,0.3,1078.5928463935852,411.8291015625,0.027859571382092933,0.1303022,0.16736902,0.8045387485727608,True
8,indobenchmark/indobert-lite-base-p2,16,22,0.001,0.0,0.5,819.976954460144,411.8291015625,0.016466172101596992,0.101915486,0.12851611,0.8660683526060986,True
9,indobenchmark/indobert-lite-base-p2,16,12,0.002,0.0,0.5,449.96378898620605,411.8291015625,0.018840747761229674,0.11216831,0.13698182,0.8482279225468556,True
10,indobenchmark/indobert-lite-base-p2,4,13,0.001,0.0,0.5,540.538244009018,411.8291015625,0.027344507991801947,0.13112922,0.16599514,0.7981995802704579,True
11,indobenchmark/indobert-lite-base-p2,4,26,0.002,0.0,0.5,1076.6213386058807,411.8291015625,0.038067285212067266,0.15686013,0.19545293,0.6997780980407512,True
