config_id,model_name,batch_size,epochs,learning_rate,warm_up,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson
0,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,18,1e-05,0.0,1986.3366513252258,6419.15234375,0.010224792234415267,0.07517292,0.10119668,0.9226385149274516
1,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,30,1e-05,0.3,3298.3676986694336,6420.80078125,0.011138428490570125,0.08018143,0.10567592,0.916192298194766
2,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,17,2e-05,0.0,1815.6166558265686,6420.80078125,0.010195866842695977,0.07472093,0.10138925,0.9232423550235416
3,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,21,2e-05,0.3,2242.4551632404327,6420.80078125,0.01262445183043989,0.08721805,0.11270453,0.9059382168608163
4,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,14,1e-05,0.0,1102.9908723831177,6616.84619140625,0.010713856880708287,0.07898986,0.103752166,0.9212185370930845
5,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,23,1e-05,0.3,1816.831176996231,6620.1572265625,0.01027823555438469,0.07688473,0.10158963,0.9241323274264781
6,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,30,2e-05,0.0,2355.750680208206,6620.1572265625,0.010283088552144666,0.07525742,0.10156761,0.9201588622792989
7,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,18,2e-05,0.3,1420.7585895061493,6625.79345703125,0.01052083884521077,0.07823114,0.1027925,0.9206437893401538
8,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,14,1e-05,0.0,1008.950865983963,9969.72265625,0.011153620854020118,0.0810684,0.10572635,0.9174034880122224
9,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,30,1e-05,0.3,2168.8047592639923,9988.6767578125,0.010839674901217223,0.07817273,0.104273826,0.9198026134004339
10,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,42,2e-05,0.0,2999.619846343994,9988.6767578125,0.00999293535326918,0.07386009,0.10014692,0.9245341110239317
11,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,21,2e-05,0.3,1527.537653684616,9988.6767578125,0.0107654414139688,0.0784612,0.103903376,0.9209876791780521
12,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,31,5e-05,0.0,3298.819187402725,6420.7958984375,0.009848350576551942,0.072857335,0.09962108,0.9236130093703411
13,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,18,5e-05,0.3,1909.9239337444305,6420.7958984375,0.01105401682646819,0.07899873,0.10537484,0.9153716792362369
14,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,11,0.0001,0.0,1164.3789548873901,6420.7958984375,0.03717513987212442,0.15113734,0.19281767,0.7524191688246622
15,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,23,0.0001,0.3,2448.912451505661,6435.0009765625,0.013665182329714299,0.089580715,0.11732626,0.9034437531091831
16,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,15,5e-05,0.0,1189.9439387321472,6609.50439453125,0.011631724859277407,0.07969923,0.1080408,0.9129244786491589
17,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,18,5e-05,0.3,1425.625296831131,6613.48876953125,0.01063290589954704,0.08113949,0.103159815,0.9203015452017844
18,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,26,0.0001,0.0,2063.838083267212,6619.6845703125,0.011015845617900292,0.08071436,0.105100825,0.9192358395175652
19,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,14,0.0001,0.3,1113.124843597412,6634.48095703125,0.012270680248426894,0.08174968,0.110906005,0.9138093176564943
20,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,24,5e-05,0.0,1702.9138338565826,9968.080078125,0.010198309707144896,0.07524024,0.10124212,0.9217114186333584
21,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,22,5e-05,0.0,2227.1270775794983,9982.65234375,0.011019804949561755,0.0773608,0.10520311,0.9167810879115639
22,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,22,5e-05,0.3,1624.3749222755432,9982.65234375,0.011647127475589514,0.08224665,0.10800194,0.9117749501176704
23,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,30,0.0001,0.0,3034.746206521988,9982.65234375,0.010792019699389735,0.07563808,0.10417033,0.9186886506856706
24,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,14,0.0001,0.3,1001.326872587204,9982.65234375,0.010714717861264943,0.07885417,0.103692435,0.9218093391920869
