config_id,model_name,batch_size,epochs,learning_rate,warm_up,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson
0,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,38,1e-05,0.0,4142.62350320816,6429.44140625,0.010930205690480458,0.0764444,0.10491506,0.9135313263497732
1,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,60,1e-05,0.3,6486.738062620163,6429.44140625,0.011149064443695048,0.07895701,0.10593024,0.9118792647239723
2,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,36,2e-05,0.0,4033.998030424118,6429.44140625,0.010248676012270152,0.07567989,0.10148961,0.919653709796982
3,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,36,2e-05,0.3,4107.9549334049225,6429.44140625,0.011019240784905075,0.08033733,0.105222546,0.9132812922246942
4,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,32,5e-05,0.0,3525.9141087532043,6429.44140625,0.012639983123517596,0.08182418,0.11279417,0.9003990996941164
5,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,27,5e-05,0.3,3009.929186820984,6429.44140625,0.0126784669184417,0.08469551,0.113037795,0.8989440796343523
6,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,31,0.0001,0.0,3427.587306022644,6429.44140625,0.014599390651953096,0.08571213,0.12126886,0.8847944432668283
7,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4,24,0.0001,0.3,2646.1247766017914,6429.44140625,0.011199612639029511,0.0800901,0.10607377,0.9129630542672301
8,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,52,1e-05,0.0,4240.451466083527,6613.59228515625,0.012229783150056997,0.08196423,0.110889405,0.9048518466702249
9,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,51,1e-05,0.3,4221.474555969238,6613.59228515625,0.011375273484736681,0.08184313,0.10691039,0.9104438702839869
10,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,30,2e-05,0.0,2393.232570171356,6616.7138671875,0.010394659607360761,0.076516174,0.10226237,0.9182592198483083
11,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,52,2e-05,0.3,4154.36622428894,6616.7138671875,0.011126918427180499,0.0798913,0.10579449,0.912918239476534
12,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,31,5e-05,0.0,2480.3317456245422,6620.81201171875,0.011464073850462834,0.07907114,0.10739195,0.9091382462790895
13,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,32,5e-05,0.3,2565.360657930374,6620.81201171875,0.011423954941953222,0.08096517,0.10717579,0.909112054112851
14,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,30,0.0001,0.0,2401.0175280570984,6620.81201171875,0.013652326182151835,0.0821869,0.11726883,0.8949058830849312
15,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,8,31,0.0001,0.3,2484.874804019928,6623.8984375,0.01252364517810444,0.082303725,0.11227393,0.9022643659136331
16,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,46,1e-05,0.0,4392.949556827545,9955.3515625,0.011341177206486464,0.078179896,0.10678022,0.910859382737045
17,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,57,1e-05,0.3,4161.1025285720825,9955.3515625,0.012316680125271281,0.082179375,0.1113461,0.9031614523048747
18,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,46,2e-05,0.0,3345.6834592819214,9958.67138671875,0.011232981132343412,0.07712084,0.106301375,0.9122914684006636
19,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,39,2e-05,0.3,2849.9265558719635,9958.67138671875,0.011872423999011516,0.08126416,0.10931099,0.9058032209780451
20,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,30,5e-05,0.0,2177.758015394211,9963.126953125,0.010720154565448562,0.07789303,0.103842765,0.9148015293787418
21,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,48,5e-05,0.3,4457.263858795166,9967.07568359375,0.011954281665384769,0.08050902,0.10970119,0.906631795617123
22,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,35,0.0001,0.0,3155.2525837421417,9972.06787109375,0.011836358718574047,0.08134316,0.10916322,0.9058960161925285
23,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,16,41,0.0001,0.3,3042.0576314926147,9972.06787109375,0.010990660435830553,0.07753237,0.10512869,0.9126708605207794
