config_id,model_name,batch_size,epochs,learning_rate,warm_up,dropout,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson
0,indobenchmark/indobert-lite-base-p2,4,62,1e-05,0.0,0.1,4109.895740270615,1767.72119140625,0.010754811849134663,0.079204984,0.10397783,0.9153709055835083
1,indobenchmark/indobert-lite-base-p2,4,85,1e-05,0.3,0.1,5676.440872430801,1767.72119140625,0.011825048887597707,0.08244234,0.10913739,0.9059462350017501
2,indobenchmark/indobert-lite-base-p2,4,49,2e-05,0.0,0.1,3010.4626376628876,1767.72119140625,0.010994573873176705,0.08027503,0.10523731,0.9142672555648146
3,indobenchmark/indobert-lite-base-p2,4,46,2e-05,0.3,0.1,2834.3462920188904,1767.72119140625,0.011334328423496723,0.08170068,0.10644063,0.9106477228451776
4,indobenchmark/indobert-lite-base-p2,4,41,5e-05,0.0,0.1,2519.31396985054,1767.72119140625,0.010325412213569507,0.0770469,0.1019978,0.9223907012370477
5,indobenchmark/indobert-lite-base-p2,4,43,5e-05,0.3,0.1,2653.7556848526,1769.56494140625,0.011689225698743637,0.0836506,0.10842982,0.9069201735710031
6,indobenchmark/indobert-lite-base-p2,4,21,0.0001,0.0,0.1,1299.8680765628815,1769.56494140625,0.044919972261413935,0.15749724,0.21270338,0.5961496479079418
7,indobenchmark/indobert-lite-base-p2,4,47,0.0001,0.3,0.1,2925.7460210323334,1769.56494140625,0.012556906684767454,0.080473155,0.11249091,0.9003242406954985
8,indobenchmark/indobert-lite-base-p2,8,52,1e-05,0.0,0.1,2783.310082435608,3368.32177734375,0.012916740379296243,0.08431382,0.11403698,0.8979492061727693
9,indobenchmark/indobert-lite-base-p2,8,59,1e-05,0.3,0.1,3169.0429706573486,3369.75537109375,0.010736702114809305,0.07998822,0.103985034,0.9146462273613719
10,indobenchmark/indobert-lite-base-p2,8,48,2e-05,0.0,0.1,2578.6054260730743,3369.75537109375,0.01183720772775511,0.08368409,0.10913712,0.9079838849387356
11,indobenchmark/indobert-lite-base-p2,8,88,2e-05,0.3,0.1,4722.733927726746,3369.75537109375,0.010891276048884417,0.07902748,0.10470905,0.9137001731897229
12,indobenchmark/indobert-lite-base-p2,8,55,5e-05,0.0,0.1,2925.928003549576,3369.75537109375,0.011588480412804832,0.081705585,0.10803257,0.9101923164484805
13,indobenchmark/indobert-lite-base-p2,8,72,5e-05,0.3,0.1,3969.6562328338623,3369.75537109375,0.011304034036584198,0.08235401,0.10666581,0.9106618320325591
14,indobenchmark/indobert-lite-base-p2,8,41,0.0001,0.0,0.1,2319.4781873226166,3369.75537109375,0.011300710629438982,0.07748581,0.10671348,0.9113053941303828
15,indobenchmark/indobert-lite-base-p2,8,33,0.0001,0.3,0.1,1832.6701514720917,3369.75537109375,0.01156384008936584,0.08501398,0.10780147,0.9096969529974438
16,indobenchmark/indobert-lite-base-p2,16,75,1e-05,0.0,0.1,4278.774749994278,6566.74951171875,0.012444926363726457,0.0863418,0.11187723,0.9005034662314529
17,indobenchmark/indobert-lite-base-p2,16,81,1e-05,0.3,0.1,4693.5454885959625,6566.74951171875,0.012783003443231186,0.08715195,0.11334999,0.9012673417887498
18,indobenchmark/indobert-lite-base-p2,16,63,2e-05,0.0,0.1,3671.862868785858,6566.74951171875,0.011833432177081705,0.08245777,0.10916758,0.9057906233863996
19,indobenchmark/indobert-lite-base-p2,16,78,2e-05,0.3,0.1,4455.874149084091,6566.74951171875,0.012152055371552705,0.084580064,0.110593915,0.9033782053415743
20,indobenchmark/indobert-lite-base-p2,16,38,5e-05,0.0,0.1,2170.0086348056793,6569.73193359375,0.012420956945667664,0.08541437,0.1117148,0.9046447700572704
21,indobenchmark/indobert-lite-base-p2,16,69,5e-05,0.3,0.1,4035.0864884853363,6569.73193359375,0.010858851748829087,0.08072361,0.1045468,0.9145523766206103
22,indobenchmark/indobert-lite-base-p2,16,69,0.0001,0.0,0.1,3883.0322284698486,6569.73193359375,0.010772714282696445,0.079927795,0.104121014,0.9188677796094157
23,indobenchmark/indobert-lite-base-p2,16,56,0.0001,0.3,0.1,3137.433870792389,6569.73193359375,0.011209863501911362,0.08034177,0.10621833,0.9110577264280747
